kelime,koken,label
fıkra,Arapça,0
anasır,Arapça,0
Sebük,Turkce,1
faiz,Arapça,0
kiş,Almanca,0
bakiye,Arapça,0
Orak,Turkce,1
Tuygu,Turkce,1
Dilek,Turkce,1
Tuyun,Turkce,1
battaniye,Arapça,0
molibden,Fransızca,0
çeyiz,Arapça,0
banka,İtalyanca,0
Tüzbayküçbars,Turkce,1
küfeki,Antik Yunanca,0
cenk,Farsça,0
altes,İtalyanca,0
Ulus,Turkce,1
Bermek,Turkce,1
abus,Arapça,0
Tapılgu,Turkce,1
kulunç,Antik Yunanca,0
berhane,Farsça,0
ayn,Arapça,0
yat,İngilizce,0
Çaruk,Turkce,1
Köküskaya,Turkce,1
mendirek,Antik Yunanca,0
badem,Farsça,0
Bilig,Turkce,1
kontur,İtalyanca,0
evla,Arapça,0
sigma,Antik Yunanca,0
Guz,Turkce,1
hele,Farsça,0
ut,Farsça,0
mikrokozm,Fransızca,0
plankton,Almanca,0
abajur,Latince,0
hazan,Farsça,0
fersude,Farsça,0
Çılasun,Turkce,1
Tığrak,Turkce,1
Kutku,Turkce,1
kapsül,Latince,0
Taytuğlu,Turkce,1
pelesenk,Farsça,0
fevkani,Arapça,0
peri,Farsça,0
katliam,Farsça,0
şov,İngilizce,0
formik,Latince,0
ıstralya,İtalyanca,0
Barımtay,Turkce,1
caba,Arapça,0
Erküz,Turkce,1
Abı,Turkce,1
koltuk,Turkce,1
Barsbeğ,Turkce,1
evreka,Antik Yunanca,0
Kısak,Turkce,1
offshore,İngilizce,0
faktör,Latince,0
güveç,Turkce,1
çerçeve,Farsça,0
acele,Arapça,0
dağdağa,Arapça,0
muhafazakâr,Farsça,0
rızk,Farsça,0
raviyoli,İtalyanca,0
disiplin,Latince,0
ispiyon,İtalyanca,0
düşman,Farsça,0
armut,Farsça,0
nekroz,Fransızca,0
batıl,Arapça,0
çubuk,Farsça,0
kır,Turkce,1
cilbab,Arapça,0
derya,Farsça,0
Çengin,Turkce,1
galeta,İtalyanca,0
Usuna,Turkce,1
aksata,Arapça,0
Bongulboğa,Turkce,1
tamu,Turkce,1
Kutluşat,Turkce,1
feribot,İngilizce,0
Akpamuk,Turkce,1
Balkık,Turkce,1
Sınkı,Turkce,1
faraş,Arapça,0
amel,Arapça,0
maçuna,İtalyanca,0
bomba,İtalyanca,0
flambe,Latince,0
gıyap,Arapça,0
karbon,Latince,0
dispersiyon,Latince,0
cisim,Arapça,0
Karakun,Turkce,1
Yalhı,Turkce,1
ebed,Arapça,0
kaban,Fransızca,0
Sebüktegin,Turkce,1
Baskın,Turkce,1
cebin,Arapça,0
Süler,Turkce,1
akut,İngilizce,0
Baçara,Turkce,1
boca,İtalyanca,0
sümük,Turkce,1
cennet,Arapça,0
bin,Arapça,0
Büge,Turkce,1
Ögrüzdemir,Turkce,1
perest,Farsça,0
hıncahınç,Farsça,0
esen,Farsça,0
ceriha,Arapça,0
Tınbeğ,Turkce,1
Gökçen,Turkce,1
ataş,Fransızca,0
Tiri,Turkce,1
ajitasyon,Latince,0
tampon,Fransızca,0
Arsıl,Turkce,1
Kutan,Turkce,1
bono,İtalyanca,0
Azganaz,Turkce,1
melamin,Almanca,0
ebabil,Arapça,0
Tundar,Turkce,1
aldatmak,Turkce,1
salça,İtalyanca,0
elem,Arapça,0
otonomi,Fransızca,0
Börübars,Turkce,1
Sarı,Turkce,1
Alayunt,Turkce,1
Tamduk,Turkce,1
ru,Farsça,0
vazelin,Almanca,0
cani,Arapça,0
siroz,Latince,0
perçin,Farsça,0
Aydanarı,Turkce,1
Süçür,Turkce,1
video,İngilizce,0
cinas,Arapça,0
Pamuk,Turkce,1
konvoy,İtalyanca,0
sır,Turkce,1
atıfet,Arapça,0
sportmen,İngilizce,0
zangoç,Farsça,0
anksiyete,Latince,0
Kömçü,Turkce,1
banko,İtalyanca,0
+baz,Farsça,0
köfter,Farsça,0
yılan,Turkce,1
Karagüne,Turkce,1
takoz,İtalyanca,0
Bayur,Turkce,1
krema,İtalyanca,0
yostiq,Turkce,1
Tölekkaya,Turkce,1
Tarman,Turkce,1
Tuçayan,Turkce,1
ançüez,İngilizce,0
sake,İngilizce,0
gerdan,Farsça,0
fitil,Arapça,0
Konçak,Turkce,1
şömiz,Latince,0
Tökünçe,Turkce,1
beriberi,İngilizce,0
fena,Arapça,0
Bügdüzemen,Turkce,1
anket,Latince,0
volfram,Almanca,0
silojizm,İngilizce,0
Alphan,Turkce,1
bühtan,Arapça,0
Ayçiçek,Turkce,1
iskandil,İtalyanca,0
amok,İngilizce,0
İlbaşı,Turkce,1
Asana,Turkce,1
gaflet,Arapça,0
fasıla,Arapça,0
Karayığaç,Turkce,1
Alptunga,Turkce,1
lipsos,Antik Yunanca,0
Süyünbike,Turkce,1
Döne,Turkce,1
mozole,Fransızca,0
acz,Arapça,0
vazo+,İngilizce,0
Akbay,Turkce,1
bağırsak,Turkce,1
eis,Antik Yunanca,0
dede,Turkce,1
Tolmuş,Turkce,1
mandıra,Antik Yunanca,0
İldeniz,Turkce,1
lağım,Antik Yunanca,0
ahkâm,Arapça,0
program,Fransızca,0
klinker,İngilizce,0
aksan,Latince,0
Oğulçak,Turkce,1
Seli,Turkce,1
Urunguşat,Turkce,1
gazi,Arapça,0
selenyum,Latince,0
şarampol,Almanca,0
dert,Farsça,0
izbandut,İtalyanca,0
kehf,Latince,0
osteoporoz,Fransızca,0
diferansiyel,Latince,0
akıl,Arapça,0
hod,Farsça,0
Kakşaaçkı,Turkce,1
Şalçak,Turkce,1
Süledi,Turkce,1
işve,Farsça,0
vazo,İtalyanca,0
Turumçan,Turkce,1
oratoryo,İtalyanca,0
Tok,Turkce,1
piranha,İngilizce,0
Çakırça,Turkce,1
Doğankaykan,Turkce,1
Tayüge,Turkce,1
realpolitik,Almanca,0
Yaşın,Turkce,1
efervesan,Latince,0
salon,İtalyanca,0
İldike,Turkce,1
Yıldır,Turkce,1
Arslansungur,Turkce,1
Kasırku,Turkce,1
çerez,Farsça,0
Tan,Turkce,1
kiraz,Antik Yunanca,0
fonksiyon,Latince,0
entim,Latince,0
Itak,Turkce,1
Bozbörü,Turkce,1
gulgule,Arapça,0
Çağlayan,Turkce,1
düşes,Latince,0
evlek,Antik Yunanca,0
Öngü,Turkce,1
bad,Farsça,0
ebat,Arapça,0
Kur,Turkce,1
arazi,Arapça,0
mancınık,Antik Yunanca,0
buhran,Arapça,0
Tamantarkan,Turkce,1
Kubaçakırca,Turkce,1
mader,Farsça,0
Yoruk,Turkce,1
ama,Arapça,0
Azban,Turkce,1
Buğday,Turkce,1
keşmekeş,Farsça,0
start,İngilizce,0
nubuk,İngilizce,0
akait,Arapça,0
kabotaj,Latince,0
hümayun,Farsça,0
Atgak,Turkce,1
madrabaz,Farsça,0
kösele,Farsça,0
asi,Arapça,0
Dürmen,Turkce,1
gayet,Arapça,0
script,İngilizce,0
talancı,Turkce,1
aheste,Farsça,0
güderi,Antik Yunanca,0
Künçtutuk,Turkce,1
küme,Antik Yunanca,0
defaat,Arapça,0
Basanyalavaç,Turkce,1
Kaymas,Turkce,1
Çavaş,Turkce,1
retorik,Fransızca,0
sedye,İtalyanca,0
hipokaust,Almanca,0
Artukaç,Turkce,1
Toksuçiğil,Turkce,1
Bükebuyraç,Turkce,1
korno,İtalyanca,0
Monçuk,Turkce,1
Demiryumruk,Turkce,1
Urungukülük,Turkce,1
Aydoğmuş,Turkce,1
Kinsin,Turkce,1
çeşm,Farsça,0
acar,Arapça,0
Toyun,Turkce,1
lonca,İtalyanca,0
yeşil,Turkce,1
Yılbars,Turkce,1
bilardo,İtalyanca,0
kurna,Antik Yunanca,0
kaşkariko,İtalyanca,0
glüten,Latince,0
Alçiçek,Turkce,1
Berkyaruk,Turkce,1
Çiçek,Turkce,1
dönek,Turkce,1
Tolga,Turkce,1
paravan,İtalyanca,0
İltüzer,Turkce,1
ases,Arapça,0
sayramoq,Turkce,1
azade,Farsça,0
amfi,Antik Yunanca,0
içne,Turkce,1
Irmak,Turkce,1
gökbörü,Turkce,1
Yabunsu,Turkce,1
pey,Farsça,0
elektro,İngilizce,0
müşkülpesent,Farsça,0
şablon,Almanca,0
Silig,Turkce,1
zombi,İngilizce,0
dirgen,Antik Yunanca,0
Arşun,Turkce,1
Dike,Turkce,1
laf,Farsça,0
Ebin,Turkce,1
Yabgu,Turkce,1
ispanyolet,Latince,0
aziz,Arapça,0
cömert,Farsça,0
gadir,Arapça,0
entansif,Latince,0
namus,Antik Yunanca,0
preparat,Almanca,0
sağrak,Farsça,0
Yalsaka,Turkce,1
bülbül,Arapça,0
yarık,Turkce,1
küllük,Turkce,1
pıhtı,Farsça,0
volta,İtalyanca,0
borazan,Farsça,0
Kıyangüçü,Turkce,1
asfalya,Antik Yunanca,0
diyanet,Arapça,0
Bilgeçikşin,Turkce,1
replika,İtalyanca,0
Tamgalı,Turkce,1
Konurkoca,Turkce,1
germinasyon,İngilizce,0
Akbudak,Turkce,1
polka,Fransızca,0
misojin,Fransızca,0
patent,İtalyanca,0
sone,Fransızca,0
fistül,Latince,0
Ağaça,Turkce,1
Begil,Turkce,1
denden,Farsça,0
menhir,Fransızca,0
emaye,Fransızca,0
borani,Farsça,0
fars,Latince,0
meltem,İtalyanca,0
transandant,İngilizce,0
dabbe,Arapça,0
fevt,Arapça,0
Körük,Turkce,1
ilmek,Turkce,1
kaynak,Turkce,1
Alptuğrul,Turkce,1
empermeabl,Latince,0
Barça,Turkce,1
yeşim,Farsça,0
akit,Arapça,0
künde,Farsça,0
mol,İngilizce,0
kadük,Latince,0
şelf,İngilizce,0
Tengelgün,Turkce,1
fast-food,İngilizce,0
Tükrünç,Turkce,1
pedofil,İngilizce,0
yağmâ,Turkce,1
kulampara,Farsça,0
koza,Farsça,0
plutokrasi,Fransızca,0
kokart,Fransızca,0
devlet,Arapça,0
alez,Latince,0
Yarkan,Turkce,1
tripod,İngilizce,0
külünk,Farsça,0
aşağı,Turkce,1
Badur,Turkce,1
Köp,Turkce,1
meze,Farsça,0
friksiyon,Latince,0
destur,Farsça,0
Şu,Turkce,1
roof,İngilizce,0
Imga,Turkce,1
lobya,Farsça,0
Övünç,Turkce,1
termin,Almanca,0
erkete,Antik Yunanca,0
Tike,Turkce,1
Alevi,Arapça,0
Duru,Turkce,1
hip-hop,İngilizce,0
Soysal,Turkce,1
Tadar,Turkce,1
Engsekoca,Turkce,1
cirit,Arapça,0
gaffar,Arapça,0
feza,Arapça,0
battal,Arapça,0
Aytak,Turkce,1
Mamatçın,Turkce,1
kayış,Turkce,1
enfes,Arapça,0
posta,İtalyanca,0
nev,Farsça,0
kayınço,Turkce,1
beytülmal,Arapça,0
aspirin,Almanca,0
Sengeç,Turkce,1
fetha,Arapça,0
deli,Turkce,1
trubadur,Latince,0
Alaban,Turkce,1
Yolak,Turkce,1
Yarkın,Turkce,1
Bayrı,Turkce,1
Almıla,Turkce,1
ararot,İngilizce,0
termik,Almanca,0
İkti,Turkce,1
Kutbulan,Turkce,1
flu,Latince,0
ham,Farsça,0
kakım,Farsça,0
Baypüre,Turkce,1
tera,İngilizce,0
karibu,İngilizce,0
azat,Farsça,0
Kindoğmuş,Turkce,1
adap,Arapça,0
dağar,Turkce,1
Çubu,Turkce,1
konser,İtalyanca,0
Taş,Turkce,1
Ediz,Turkce,1
fiks,Latince,0
eyvallah,Arapça,0
Tabın,Turkce,1
santi,İngilizce,0
Kalınkaraaçkı,Turkce,1
pas,İngilizce,0
oftalmoloji,Fransızca,0
derviş,Farsça,0
araka,Antik Yunanca,0
Sabutu,Turkce,1
seküler,İngilizce,0
pika,İngilizce,0
Turna,Turkce,1
konkordato,İtalyanca,0
Karık,Turkce,1
deccal,Arapça,0
baraka,İtalyanca,0
Küçkara,Turkce,1
aşiret,Arapça,0
lös,Almanca,0
siya,İtalyanca,0
Çağla,Turkce,1
Beyrem,Turkce,1
vaşak,Turkce,1
Baysungur,Turkce,1
Aruk,Turkce,1
Künç,Turkce,1
Uz,Turkce,1
deste,Farsça,0
Toğma,Turkce,1
Küçdemir,Turkce,1
Balkan,Turkce,1
Bolsun,Turkce,1
balans,Latince,0
Inal,Turkce,1
manyeto,İngilizce,0
Çınrak,Turkce,1
logos,Antik Yunanca,0
ecinni,Arapça,0
pirinç,Farsça,0
yelpaze,Turkce,1
yıl,Turkce,1
esef,Arapça,0
Külüktutuk,Turkce,1
Yağlakarata,Turkce,1
Isığ,Turkce,1
pigment,İngilizce,0
jön,Latince,0
Sarıkulmas,Turkce,1
Bangu,Turkce,1
zincifre,Farsça,0
Yolakbarçın,Turkce,1
Kurçdemir,Turkce,1
Udar,Turkce,1
elviye,Arapça,0
Çonay,Turkce,1
fortçuluk,Latince,0
konçertant,İtalyanca,0
Beğkulu,Turkce,1
Özüdoğru,Turkce,1
narkoz,Fransızca,0
Buyraç,Turkce,1
elzem,Arapça,0
revir,Almanca,0
Çeykün,Turkce,1
tapa,İtalyanca,0
Arpat,Turkce,1
şahmaran,Farsça,0
