kelime,koken,has_turkish_chars,word_length,has_double_consonant,major_vowel_harmony,minor_vowel_harmony,vowel_ratio,has_turkish_suffix,label
abes,Arapça,0,4,0,0,0,0.5,0,0
tim,İngilizce,0,3,0,1,1,0.333333333,0,0
beka,Arapça,0,4,0,0,0,0.5,0,0
lokavt,İngilizce,0,6,0,1,1,0.333333333,0,0
badıç,Turkce,1,5,0,1,1,0.4,0,1
karaokuy,Turkce,0,8,0,1,0,0.5,0,1
burguçan,Turkce,1,8,0,1,1,0.375,0,1
kanelçi,Turkce,1,7,0,0,0,0.428571429,0,1
utar,Turkce,0,4,0,1,1,0.5,0,1
bönge,Turkce,1,5,0,1,1,0.4,0,1
taysan,Turkce,0,6,0,1,1,0.333333333,0,1
iyituğrul,Turkce,1,9,0,0,0,0.444444444,0,1
karatoğma,Turkce,1,9,0,1,0,0.444444444,0,1
tarbın,Turkce,1,6,0,1,1,0.333333333,0,1
bartu,Turkce,0,5,0,1,0,0.4,0,1
abaş,Turkce,1,4,0,1,1,0.5,0,1
menekşe,Farsça,1,7,0,1,1,0.428571429,0,0
kölbilgekan,Turkce,1,11,0,0,0,0.363636364,0,1
bağa,Turkce,1,4,0,1,1,0.5,0,1
badi,İngilizce,0,4,0,0,0,0.5,0,0
eylek,Turkce,0,5,0,1,1,0.4,0,1
prova,İtalyanca,0,5,0,1,1,0.4,0,0
piston,İtalyanca,0,6,0,0,0,0.333333333,0,0
arslanbörü,Turkce,1,10,0,0,0,0.4,0,1
kontrabas,İtalyanca,0,9,0,1,1,0.333333333,0,0
perdah,Farsça,0,6,0,0,0,0.333333333,0,0
günlük,Farsça,1,6,0,1,1,0.333333333,1,0
kambiyo,İtalyanca,0,7,0,0,0,0.428571429,0,0
seğrek,Turkce,1,6,0,1,1,0.333333333,0,1
mandolin,İtalyanca,0,8,0,0,0,0.375,0,0
element,Almanca,0,7,0,1,1,0.428571429,0,0
globülin,İngilizce,1,8,0,0,1,0.375,0,0
cülus,Arapça,1,5,0,0,1,0.4,0,0
beynelmilel,Arapça,0,11,0,1,1,0.363636364,0,0
ok,Turkce,0,2,0,1,1,0.5,0,1
firkete,İtalyanca,0,7,0,1,1,0.428571429,0,0
çilav,Farsça,1,5,0,0,0,0.4,0,0
alayiş,Farsça,1,6,0,0,0,0.5,0,0
oyun,Turkce,0,4,0,1,1,0.5,0,1
karter,İngilizce,0,6,0,0,0,0.333333333,0,0
ekin,Turkce,0,4,0,1,1,0.5,0,1
baza,İtalyanca,0,4,0,1,1,0.5,0,0
kulan,Turkce,0,5,0,1,1,0.4,0,1
damen,Farsça,0,5,0,0,0,0.4,0,0
darağacı,Farsça,1,8,0,1,1,0.5,1,0
elit,Latince,0,4,0,1,1,0.5,0,0
turna,Turkce,0,5,0,1,1,0.4,0,1
bergü,Turkce,1,5,0,1,0,0.4,0,1
pnömoni,Fransızca,1,7,0,0,1,0.428571429,0,0
baksı,Turkce,1,5,0,1,1,0.4,0,1
immoral,Latince,0,7,1,0,0,0.428571429,0,0
emmek,Turkce,0,5,1,1,1,0.4,0,1
balçak,Turkce,1,6,0,1,1,0.333333333,0,1
aykut,Turkce,0,5,0,1,0,0.4,0,1
beden,Arapça,0,5,0,1,1,0.4,0,0
çarır,Turkce,1,5,0,1,1,0.4,0,1
edat,Arapça,0,4,0,0,0,0.5,0,0
turatutuk,Turkce,0,9,0,1,0,0.444444444,0,1
atol,İngilizce,0,4,0,1,0,0.5,0,0
çilenti,Turkce,1,7,0,1,1,0.428571429,0,1
çizim,Turkce,1,5,0,1,1,0.4,0,1
baydur,Turkce,0,6,0,1,0,0.333333333,0,1
çeşme,Farsça,1,5,0,1,1,0.4,0,0
vaks,İngilizce,0,4,0,1,1,0.25,0,0
humor,Latince,0,5,0,1,1,0.4,0,0
duçe,İtalyanca,1,4,0,0,1,0.5,0,0
usta,Turkce,0,4,0,1,1,0.5,0,1
asalet,Arapça,0,6,0,0,0,0.5,0,0
kevgir,Farsça,0,6,0,1,1,0.333333333,0,0
aprançur,Turkce,1,8,0,1,0,0.375,0,1
koşututuk,Turkce,1,9,0,1,1,0.444444444,0,1
sadak,Turkce,0,5,0,1,1,0.4,0,1
ingiltere,İtalyanca,0,9,0,1,1,0.444444444,0,0
toynak,Turkce,0,6,0,1,1,0.333333333,0,1
prostat,Fransızca,0,7,0,1,1,0.285714286,0,0
kursul,Turkce,0,6,0,1,1,0.333333333,0,1
güzaf,Farsça,1,5,0,0,1,0.4,0,0
beher,Farsça,0,5,0,1,1,0.4,0,0
ralli,İngilizce,0,5,1,0,0,0.4,0,0
tuproq,Turkce,0,6,0,1,1,0.333333333,0,1
aldıgerey,Turkce,1,9,0,0,0,0.444444444,0,1
uçarkam,Turkce,1,7,0,1,1,0.428571429,0,1
füsun,Farsça,1,5,0,0,1,0.4,0,0
ağda,Arapça,1,4,0,1,1,0.5,0,0
tungakağan,Turkce,1,10,0,1,1,0.4,0,1
fakat,Arapça,0,5,0,1,1,0.4,0,0
fonograf,İngilizce,0,8,0,1,1,0.375,0,0
adımlaşmak,Turkce,1,10,0,1,1,0.4,0,1
çakırkağan,Turkce,1,10,0,1,1,0.4,0,1
iflas,Latince,0,5,0,0,0,0.4,0,0
akvarel,İtalyanca,0,7,0,0,0,0.428571429,0,0
bakıtmak,Turkce,1,8,0,1,1,0.375,0,1
kerki,Turkce,0,5,0,1,1,0.4,0,1
çehre,Farsça,1,5,0,1,1,0.4,0,0
herniasyon,İngilizce,0,10,0,0,0,0.4,0,0
gaybubet,Arapça,0,8,0,0,0,0.375,0,0
sırım,Turkce,1,5,0,1,1,0.4,0,1
milyon,İtalyanca,0,6,0,0,0,0.333333333,0,0
burkay,Turkce,0,6,0,1,1,0.333333333,0,1
büşünçek,Turkce,1,8,0,1,1,0.375,0,1
oğla,Turkce,1,4,0,1,1,0.5,0,1
ataldı,Turkce,1,6,0,1,1,0.5,0,1
yaparlı,Turkce,1,7,0,1,1,0.428571429,0,1
çakal,Farsça,1,5,0,1,1,0.4,0,0
doyi,Turkce,0,4,0,0,1,0.5,0,1
algış,Turkce,1,5,0,1,1,0.4,0,1
alpyörük,Turkce,1,8,0,0,0,0.375,0,1
hız,Farsça,1,3,0,1,1,0.333333333,0,0
kamal,Turkce,0,5,0,1,1,0.4,0,1
altankağan,Turkce,1,10,0,1,1,0.4,0,1
ebcet,Arapça,0,5,0,1,1,0.4,0,0
eflak,Arapça,0,5,0,0,0,0.4,0,0
çare,Farsça,1,4,0,0,0,0.5,0,0
aşına,Turkce,1,5,0,1,1,0.6,0,1
ilteber,Turkce,0,7,0,1,1,0.428571429,0,1
alkaşı,Turkce,1,6,0,1,1,0.5,0,1
ahrar,Arapça,0,5,0,1,1,0.4,0,0
alüvyon,Latince,1,7,0,0,0,0.428571429,0,0
tuygan,Turkce,0,6,0,1,1,0.333333333,0,1
fiil,Arapça,0,4,0,1,1,0.5,0,0
opçın,Turkce,1,5,0,1,1,0.4,0,1
karakunaz,Turkce,0,9,0,1,0,0.444444444,0,1
füruş,Farsça,1,5,0,0,1,0.4,0,0
jöle,Latince,1,4,0,1,1,0.5,0,0
mini,İngilizce,0,4,0,1,1,0.5,0,0
akümüle,Latince,1,7,0,0,0,0.571428571,0,0
zırh,Farsça,1,4,0,1,1,0.25,0,0
kumandan,Almanca,0,8,0,1,1,0.375,0,0
doğu,Turkce,1,4,0,1,1,0.5,0,1
enfiye,Arapça,0,6,0,1,1,0.5,0,0
absorbe,Latince,0,7,0,0,0,0.428571429,0,0
vatman,İngilizce,0,6,0,1,1,0.333333333,0,0
sen,Turkce,0,3,0,1,1,0.333333333,0,1
üyge,Turkce,1,4,0,1,1,0.5,0,1
kethüda,Farsça,1,7,0,0,0,0.428571429,0,0
fileto,İtalyanca,0,6,0,0,0,0.5,0,0
küçlü,Turkce,1,5,0,1,1,0.4,0,1
lala,Farsça,0,4,0,1,1,0.5,0,0
toygun,Turkce,0,6,0,1,1,0.333333333,0,1
örebört,Turkce,1,7,0,1,0,0.428571429,0,1
gıybet,Arapça,1,6,0,0,0,0.333333333,0,0
radyo,İngilizce,0,5,0,1,0,0.4,0,0
psikopat,Almanca,0,8,0,0,0,0.375,0,0
iterasyon,Latince,0,9,0,0,0,0.444444444,0,0
yeğinsilik,Turkce,1,10,0,1,1,0.4,1,1
dolap,Farsça,0,5,0,1,1,0.4,0,0
kuçan,Turkce,1,5,0,1,1,0.4,0,1
yarlık,Turkce,1,6,0,1,1,0.333333333,1,1
alçak,Turkce,1,5,0,1,1,0.4,0,1
jüt,İngilizce,1,3,0,1,1,0.333333333,0,0
aberasyon,Latince,0,9,0,0,0,0.444444444,0,0
eros,Antik Yunanca,0,4,0,0,0,0.5,0,0
bay,Turkce,0,3,0,1,1,0.333333333,0,1
çünkü,Farsça,1,5,0,1,1,0.4,0,0
ıstampa,İtalyanca,1,7,0,1,1,0.428571429,0,0
vardakosta,İtalyanca,0,10,0,1,0,0.4,0,0
bade,Farsça,0,4,0,0,0,0.5,0,0
dün,Turkce,1,3,0,1,1,0.333333333,0,1
jenerasyon,Latince,0,10,0,0,0,0.4,0,0
derpiş,Farsça,1,6,0,1,1,0.333333333,0,0
kapasite,Latince,0,8,0,0,0,0.5,0,0
süper,İngilizce,1,5,0,1,1,0.4,0,0
alga,İtalyanca,0,4,0,1,1,0.5,0,0
lama,İngilizce,0,4,0,1,1,0.5,0,0
endikasyon,Latince,0,10,0,0,0,0.4,0,0
isiyi,Turkce,0,5,0,1,1,0.6,0,1
kros,İngilizce,0,4,0,1,1,0.25,0,0
kanlı,Turkce,1,5,0,1,1,0.4,0,1
kireç,Farsça,1,5,0,1,1,0.4,0,0
ayine,Farsça,0,5,0,0,0,0.6,0,0
kültudun,Turkce,1,8,0,0,1,0.375,0,1
delidumrul,Turkce,0,10,0,0,0,0.4,0,1
bayankağan,Turkce,1,10,0,1,1,0.4,0,1
mergen,Turkce,0,6,0,1,1,0.333333333,0,1
farz,Arapça,0,4,0,1,1,0.25,0,0
irkin,Turkce,0,5,0,1,1,0.4,0,1
stok,İngilizce,0,4,0,1,1,0.25,0,0
kunaz,Turkce,0,5,0,1,1,0.4,0,1
ınançubilge,Turkce,1,11,0,0,0,0.454545455,0,1
bağan,Turkce,1,5,0,1,1,0.4,0,1
terkenkatun,Turkce,0,11,0,0,0,0.363636364,0,1
tifo,İngilizce,0,4,0,0,0,0.5,0,0
poliklinik,Fransızca,0,10,0,0,1,0.4,0,0
aşna fişne,Farsça,1,10,0,0,0,0.4,0,0
atılgan,Turkce,1,7,0,1,1,0.428571429,0,1
mevzubahis,Farsça,0,10,0,0,0,0.4,0,0
aykırı,Turkce,1,6,0,1,1,0.5,0,1
şalter,Almanca,1,6,0,0,0,0.333333333,0,0
fihrist,Farsça,0,7,0,1,1,0.285714286,0,0
kürtürk,Turkce,1,7,0,1,1,0.285714286,0,1
fırsat,Arapça,1,6,0,1,1,0.333333333,0,0
büyümek,Turkce,1,7,0,1,1,0.428571429,0,1
ten,Farsça,0,3,0,1,1,0.333333333,0,0
yinge,Turkce,0,5,0,1,1,0.4,0,1
tayun,Turkce,0,5,0,1,0,0.4,0,1
egzistansiyalizm,Latince,0,16,0,0,0,0.375,0,0
kafes,Latince,0,5,0,0,0,0.4,0,0
amfetamin,İngilizce,0,9,0,0,0,0.444444444,0,0
zındık,Farsça,1,6,0,1,1,0.333333333,0,0
oşinografi,Almanca,1,10,0,0,0,0.5,0,0
tırmalamak,Turkce,1,10,0,1,1,0.4,0,1
tümen,Turkce,1,5,0,1,1,0.4,0,1
leke,Farsça,0,4,0,1,1,0.5,0,0
folk,İngilizce,0,4,0,1,1,0.25,0,0
spatula,İtalyanca,0,7,0,1,0,0.428571429,0,0
toksın,Turkce,1,6,0,1,1,0.333333333,0,1
yisa,İtalyanca,0,4,0,0,0,0.5,0,0
çıkanak,Turkce,1,7,0,1,1,0.428571429,0,1
düvel,Arapça,1,5,0,1,1,0.4,0,0
turaç,Farsça,1,5,0,1,1,0.4,0,0
ampir,Latince,0,5,0,0,0,0.4,0,0
topuk,Turkce,0,5,0,1,1,0.4,0,1
ispari,Antik Yunanca,0,6,0,0,0,0.5,0,0
kuyaş,Turkce,1,5,0,1,1,0.4,0,1
türe,Turkce,1,4,0,1,1,0.5,0,1
alfanümerik,İngilizce,1,11,0,0,0,0.454545455,0,0
akuple,Latince,0,6,0,0,0,0.5,0,0
trigonometri,Latince,0,12,0,0,0,0.416666667,0,0
pırlanta,İtalyanca,1,8,0,1,1,0.375,0,0
kerevit,Antik Yunanca,0,7,0,1,1,0.428571429,0,0
bahadır,Farsça,1,7,0,1,1,0.428571429,0,0
kâh,Farsça,0,3,0,0,1,0,0,0
farfara,İtalyanca,0,7,0,1,1,0.428571429,0,0
fücur,Arapça,1,5,0,0,1,0.4,0,0
bedevi,Arapça,0,6,0,1,1,0.5,0,0
bide,Fransızca,0,4,0,1,1,0.5,0,0
baylak,Turkce,0,6,0,1,1,0.333333333,0,1
bağatarkan,Turkce,1,10,0,1,1,0.4,0,1
temen,Turkce,0,5,0,1,1,0.4,0,1
aseton,Latince,0,6,0,0,0,0.5,0,0
üyründü,Turkce,1,7,0,1,1,0.428571429,0,1
bonmarşe,Latince,1,8,0,0,0,0.375,0,0
gûnagûn,Farsça,0,7,0,1,1,0.142857143,0,0
totaliter,İtalyanca,0,9,0,0,0,0.444444444,0,0
bektür,Turkce,1,6,0,1,0,0.333333333,0,1
hattrick,İngilizce,0,8,1,0,0,0.25,0,0
revani,Farsça,0,6,0,0,0,0.5,0,0
borda,İtalyanca,0,5,0,1,1,0.4,0,0
hadde,Arapça,0,5,1,0,0,0.4,0,0
play-off,İngilizce,0,8,1,1,0,0.25,0,0
yanlış,Turkce,1,6,0,1,1,0.333333333,0,1
bekazıl,Turkce,1,7,0,0,0,0.428571429,0,1
pür,Farsça,1,3,0,1,1,0.333333333,0,0
derin,Turkce,0,5,0,1,1,0.4,0,1
aborjin,İngilizce,0,7,0,0,0,0.428571429,0,0
ugan,Turkce,0,4,0,1,1,0.5,0,1
acaba,Arapça,0,5,0,1,1,0.6,0,0
pirzola,İtalyanca,0,7,0,0,0,0.428571429,0,0
kasmış,Turkce,1,6,0,1,1,0.333333333,0,1
fasih,Arapça,0,5,0,0,0,0.4,0,0
kantüre,Turkce,1,7,0,0,0,0.428571429,0,1
belagat,Arapça,0,7,0,0,0,0.428571429,0,0
ahiret,Arapça,0,6,0,0,0,0.5,0,0
panorama,İngilizce,0,8,0,1,0,0.5,0,0
kanıtgan,Turkce,1,8,0,1,1,0.375,0,1
urungukülüktok,Turkce,1,14,0,0,1,0.428571429,0,1
deyyus,Arapça,0,6,1,0,0,0.333333333,0,0
kuşburnu,Turkce,1,8,0,1,1,0.375,0,1
kanturalı,Turkce,1,9,0,1,0,0.444444444,0,1
salgar,Turkce,0,6,0,1,1,0.333333333,0,1
sibernetik,İngilizce,0,10,0,1,1,0.4,0,0
ati,Arapça,0,3,0,0,0,0.666666667,0,0
ani,Arapça,0,3,0,0,0,0.666666667,0,0
patiska,İtalyanca,0,7,0,0,0,0.428571429,0,0
terdike,Turkce,0,7,0,1,1,0.428571429,0,1
alabros,Latince,0,7,0,1,0,0.428571429,0,0
kanat,Turkce,0,5,0,1,1,0.4,0,1
elimine,Latince,0,7,0,1,1,0.571428571,0,0
toklukdemir,Turkce,0,11,0,0,1,0.363636364,0,1
çığay,Turkce,1,5,0,1,1,0.4,0,1
laborant,Almanca,0,8,0,1,0,0.375,0,0
olta,İtalyanca,0,4,0,1,1,0.5,0,0
şad,Farsça,1,3,0,1,1,0.333333333,0,0
alpdirek,Turkce,0,8,0,0,0,0.375,0,1
dava,Arapça,0,4,0,1,1,0.5,0,0
hayırhah,Farsça,1,8,0,1,1,0.375,0,0
eşantiyon,Latince,1,9,0,0,0,0.444444444,0,0
katmış,Turkce,1,6,0,1,1,0.333333333,0,1
deva,Arapça,0,4,0,0,0,0.5,0,0
beraat,Arapça,0,6,0,0,0,0.5,0,0
madonna,İtalyanca,0,7,1,1,0,0.428571429,0,0
moyunçur,Turkce,1,8,0,1,1,0.375,0,1
arıkağan,Turkce,1,8,0,1,1,0.5,0,1
atun,Turkce,0,4,0,1,0,0.5,0,1
kabarmak,Turkce,0,8,0,1,1,0.375,0,1
gramofon,Antik Yunanca,0,8,0,1,0,0.375,0,0
dekolte,Latince,0,7,0,0,0,0.428571429,0,0
ilmen,Turkce,0,5,0,1,1,0.4,0,1
tamgantarkan,Turkce,0,12,0,1,1,0.333333333,0,1
kitre,Farsça,0,5,0,1,1,0.4,0,0
abşar,Turkce,1,5,0,1,1,0.4,0,1
ıba,Turkce,1,3,0,1,1,0.666666667,0,1
burgaz,Antik Yunanca,0,6,0,1,1,0.333333333,0,0
burulday,Turkce,0,8,0,1,1,0.375,0,1
çintar,Farsça,1,6,0,0,0,0.333333333,0,0
eşraf,Arapça,1,5,0,0,0,0.4,0,0
gökyüzü,Turkce,1,7,0,1,1,0.428571429,0,1
salhane,Farsça,0,7,0,0,0,0.428571429,0,0
kam şaft,İngilizce,1,8,0,1,1,0.25,0,0
senger,Turkce,0,6,0,1,1,0.333333333,0,1
otokrasi,Fransızca,0,8,0,0,0,0.5,0,0
kurum,Turkce,0,5,0,1,1,0.4,0,1
regola,İtalyanca,0,6,0,0,0,0.5,0,0
fiskal,Latince,0,6,0,0,0,0.333333333,0,0
kensiğ,Turkce,1,6,0,1,1,0.333333333,0,1
ez,Farsça,0,2,0,1,1,0.5,0,0
anşante,Latince,1,7,0,0,0,0.428571429,0,0
bayutmuş,Turkce,1,8,0,1,0,0.375,0,1
eytam,Arapça,0,5,0,0,0,0.4,0,0
atlıkağan,Turkce,1,9,0,1,1,0.444444444,0,1
obez,İngilizce,0,4,0,0,1,0.5,0,0
aram,Farsça,0,4,0,1,1,0.5,0,0
toktu,Turkce,0,5,0,1,1,0.4,0,1
hafiye,Arapça,0,6,0,0,0,0.5,0,0
savlık,Turkce,1,6,0,1,1,0.333333333,1,1
fay,Latince,0,3,0,1,1,0.333333333,0,0
balamır,Turkce,1,7,0,1,1,0.428571429,0,1
polenta,İtalyanca,0,7,0,0,0,0.428571429,0,0
asar,Arapça,0,4,0,1,1,0.5,0,0
zen,Farsça,0,3,0,1,1,0.333333333,0,0
bidat,Arapça,0,5,0,0,0,0.4,0,0
boyan,Turkce,0,5,0,1,1,0.4,0,1
yunkuş,Turkce,1,6,0,1,1,0.333333333,0,1
karnivor,Latince,0,8,0,0,0,0.375,0,0
kaçaç,Turkce,1,5,0,1,1,0.4,0,1
bibikatun,Turkce,0,9,0,0,0,0.444444444,0,1
racon,İtalyanca,0,5,0,1,0,0.4,0,0
kâm,Farsça,0,3,0,0,1,0,0,0
kulüp,İngilizce,1,5,0,0,1,0.4,0,0
buluş,Turkce,1,5,0,1,1,0.4,0,1
yarukyıldız,Turkce,1,11,0,1,0,0.363636364,0,1
tumlumınar,Turkce,1,10,0,1,1,0.4,0,1
amentü,Arapça,1,6,0,0,0,0.5,0,0
lalanga,Farsça,0,7,0,1,1,0.428571429,0,0
sprey,İngilizce,0,5,0,1,1,0.2,0,0
dedüksiyon,Latince,1,10,0,0,0,0.4,0,0
zer,Farsça,0,3,0,1,1,0.333333333,0,0
biliş,Turkce,1,5,0,1,1,0.4,0,1
sevilsin,Turkce,0,8,0,1,1,0.375,0,1
bone,Fransızca,0,4,0,0,1,0.5,0,0
korla,Turkce,0,5,0,1,1,0.4,0,1
kambur,Antik Yunanca,0,6,0,1,0,0.333333333,0,0
yorum,Turkce,0,5,0,1,1,0.4,0,1
gönder,Antik Yunanca,1,6,0,1,1,0.333333333,0,0
tak,Farsça,0,3,0,1,1,0.333333333,0,0
dizdar,Farsça,0,6,0,0,0,0.333333333,0,0
azap,Arapça,0,4,0,1,1,0.5,0,0
süksün,Turkce,1,6,0,1,1,0.333333333,0,1
enstitü,Latince,1,7,0,1,0,0.428571429,0,0
andelip,Arapça,0,7,0,0,0,0.428571429,0,0
dirsekağan,Turkce,1,10,0,0,0,0.4,0,1
tümenbeği,Turkce,1,9,0,1,1,0.444444444,0,1
selçen,Turkce,1,6,0,1,1,0.333333333,0,1
buturgak,Turkce,0,8,0,1,1,0.375,0,1
hare,Farsça,0,4,0,0,0,0.5,0,0
mıdıklı,Turkce,1,7,0,1,1,0.428571429,0,1
bedbin,Farsça,0,6,0,1,1,0.333333333,0,0
selçük,Turkce,1,6,0,1,0,0.333333333,0,1
bazlama,Antik Yunanca,0,7,0,1,1,0.428571429,0,0
ilötüken,Turkce,1,8,0,1,0,0.5,0,1
çeşit,Farsça,1,5,0,1,1,0.4,0,0
erdeniözük,Turkce,1,10,0,1,0,0.5,0,1
akuzatif,Almanca,0,8,0,0,0,0.5,0,0
buhar,Arapça,0,5,0,1,1,0.4,0,0
fino,İtalyanca,0,4,0,0,0,0.5,0,0
klik,Fransızca,0,4,0,1,1,0.25,1,0
dokuzoğuz,Turkce,1,9,0,1,1,0.444444444,0,1
hurdahaş,Farsça,1,8,0,1,1,0.375,0,0
kutadgu,Turkce,0,7,0,1,0,0.428571429,0,1
kopuz,Turkce,0,5,0,1,1,0.4,0,1
alpkülük,Turkce,1,8,0,0,0,0.375,1,1
bihişt,Farsça,1,6,0,1,1,0.333333333,0,0
kod,İngilizce,0,3,0,1,1,0.333333333,0,0
köşebent,Farsça,1,8,0,1,1,0.375,0,0
eğreti,Arapça,1,6,0,1,1,0.5,0,0
"aç aceleci, tok yavaş olur",Turkce,1,26,0,0,0,0.384615385,0,1
cer,Arapça,0,3,0,1,1,0.333333333,0,0
irin,Turkce,0,4,0,1,1,0.5,0,1
azamet,Arapça,0,6,0,0,0,0.5,0,0
kaymak,Turkce,0,6,0,1,1,0.333333333,0,1
kayser,Latince,0,6,0,0,0,0.333333333,0,0
iç,Turkce,1,2,0,1,1,0.5,0,1
yuldruk,Turkce,0,7,0,1,1,0.285714286,0,1
bizatihi,Arapça,0,8,0,0,0,0.5,0,0
tapir,İngilizce,0,5,0,0,0,0.4,0,0
istrongilos,Antik Yunanca,0,11,0,0,0,0.363636364,0,0
kumaşbay,Turkce,1,8,0,1,1,0.375,0,1
çebe,Turkce,1,4,0,1,1,0.5,0,1
otamış,Turkce,1,6,0,1,1,0.5,0,1
aerobik,İngilizce,0,7,0,0,0,0.571428571,0,0
uluçum,Turkce,1,6,0,1,1,0.5,0,1
şah,Farsça,1,3,0,1,1,0.333333333,0,0
burçak,Turkce,1,6,0,1,1,0.333333333,0,1
ilbastı,Turkce,1,7,0,0,0,0.428571429,0,1
şu,Turkce,1,2,0,1,1,0.5,0,1
avar,Turkce,0,4,0,1,1,0.5,0,1
tramplen,İtalyanca,0,8,0,0,0,0.25,0,0
dübel,Almanca,1,5,0,1,1,0.4,0,0
lumpen,Almanca,0,6,0,0,1,0.333333333,0,0
yumgak,Turkce,0,6,0,1,1,0.333333333,0,1
kel,Farsça,0,3,0,1,1,0.333333333,0,0
