kelime,koken,label
altes,İtalyanca,0
ulus,Turkce,1
bermek,Turkce,1
abus,Arapça,0
tapılgu,Turkce,1
kulunç,Antik Yunanca,0
berhane,Farsça,0
ayn,Arapça,0
yat,İngilizce,0
çaruk,Turkce,1
köküskaya,Turkce,1
mendirek,Antik Yunanca,0
badem,Farsça,0
bilig,Turkce,1
kontur,İtalyanca,0
evla,Arapça,0
sigma,Antik Yunanca,0
guz,Turkce,1
hele,Farsça,0
ut,Farsça,0
mikrokozm,Fransızca,0
plankton,Almanca,0
abajur,Latince,0
hazan,Farsça,0
fersude,Farsça,0
çılasun,Turkce,1
tığrak,Turkce,1
kutku,Turkce,1
kapsül,Latince,0
taytuğlu,Turkce,1
pelesenk,Farsça,0
fevkani,Arapça,0
peri,Farsça,0
katliam,Farsça,0
şov,İngilizce,0
formik,Latince,0
ıstralya,İtalyanca,0
barımtay,Turkce,1
caba,Arapça,0
erküz,Turkce,1
abı,Turkce,1
koltuk,Turkce,1
barsbeğ,Turkce,1
evreka,Antik Yunanca,0
kısak,Turkce,1
offshore,İngilizce,0
faktör,Latince,0
güveç,Turkce,1
çerçeve,Farsça,0
acele,Arapça,0
dağdağa,Arapça,0
muhafazakâr,Farsça,0
rızk,Farsça,0
raviyoli,İtalyanca,0
disiplin,Latince,0
ispiyon,İtalyanca,0
düşman,Farsça,0
armut,Farsça,0
nekroz,Fransızca,0
batıl,Arapça,0
çubuk,Farsça,0
kır,Turkce,1
cilbab,Arapça,0
derya,Farsça,0
çengin,Turkce,1
galeta,İtalyanca,0
usuna,Turkce,1
aksata,Arapça,0
bongulboğa,Turkce,1
tamu,Turkce,1
kutluşat,Turkce,1
feribot,İngilizce,0
akpamuk,Turkce,1
balkık,Turkce,1
sınkı,Turkce,1
faraş,Arapça,0
amel,Arapça,0
maçuna,İtalyanca,0
bomba,İtalyanca,0
flambe,Latince,0
gıyap,Arapça,0
karbon,Latince,0
dispersiyon,Latince,0
cisim,Arapça,0
karakun,Turkce,1
yalhı,Turkce,1
ebed,Arapça,0
kaban,Fransızca,0
sebüktegin,Turkce,1
baskın,Turkce,1
cebin,Arapça,0
süler,Turkce,1
akut,İngilizce,0
baçara,Turkce,1
boca,İtalyanca,0
sümük,Turkce,1
cennet,Arapça,0
bin,Arapça,0
büge,Turkce,1
ögrüzdemir,Turkce,1
perest,Farsça,0
hıncahınç,Farsça,0
esen,Farsça,0
ceriha,Arapça,0
tınbeğ,Turkce,1
gökçen,Turkce,1
ataş,Fransızca,0
tiri,Turkce,1
ajitasyon,Latince,0
tampon,Fransızca,0
arsıl,Turkce,1
kutan,Turkce,1
bono,İtalyanca,0
azganaz,Turkce,1
melamin,Almanca,0
ebabil,Arapça,0
tundar,Turkce,1
aldatmak,Turkce,1
salça,İtalyanca,0
elem,Arapça,0
otonomi,Fransızca,0
börübars,Turkce,1
sarı,Turkce,1
alayunt,Turkce,1
tamduk,Turkce,1
ru,Farsça,0
vazelin,Almanca,0
cani,Arapça,0
siroz,Latince,0
perçin,Farsça,0
aydanarı,Turkce,1
süçür,Turkce,1
video,İngilizce,0
cinas,Arapça,0
pamuk,Turkce,1
konvoy,İtalyanca,0
sır,Turkce,1
atıfet,Arapça,0
sportmen,İngilizce,0
zangoç,Farsça,0
anksiyete,Latince,0
kömçü,Turkce,1
banko,İtalyanca,0
+baz,Farsça,0
köfter,Farsça,0
yılan,Turkce,1
karagüne,Turkce,1
takoz,İtalyanca,0
bayur,Turkce,1
krema,İtalyanca,0
yostiq,Turkce,1
tölekkaya,Turkce,1
tarman,Turkce,1
tuçayan,Turkce,1
ançüez,İngilizce,0
sake,İngilizce,0
gerdan,Farsça,0
fitil,Arapça,0
konçak,Turkce,1
şömiz,Latince,0
tökünçe,Turkce,1
beriberi,İngilizce,0
fena,Arapça,0
bügdüzemen,Turkce,1
anket,Latince,0
volfram,Almanca,0
silojizm,İngilizce,0
alphan,Turkce,1
bühtan,Arapça,0
ayçiçek,Turkce,1
iskandil,İtalyanca,0
amok,İngilizce,0
ilbaşı,Turkce,1
asana,Turkce,1
gaflet,Arapça,0
fasıla,Arapça,0
karayığaç,Turkce,1
alptunga,Turkce,1
lipsos,Antik Yunanca,0
süyünbike,Turkce,1
döne,Turkce,1
mozole,Fransızca,0
acz,Arapça,0
vazo+,İngilizce,0
akbay,Turkce,1
bağırsak,Turkce,1
eis,Antik Yunanca,0
dede,Turkce,1
tolmuş,Turkce,1
mandıra,Antik Yunanca,0
ildeniz,Turkce,1
lağım,Antik Yunanca,0
ahkâm,Arapça,0
program,Fransızca,0
klinker,İngilizce,0
aksan,Latince,0
oğulçak,Turkce,1
seli,Turkce,1
urunguşat,Turkce,1
gazi,Arapça,0
selenyum,Latince,0
şarampol,Almanca,0
dert,Farsça,0
izbandut,İtalyanca,0
kehf,Latince,0
osteoporoz,Fransızca,0
diferansiyel,Latince,0
akıl,Arapça,0
hod,Farsça,0
kakşaaçkı,Turkce,1
şalçak,Turkce,1
süledi,Turkce,1
işve,Farsça,0
vazo,İtalyanca,0
turumçan,Turkce,1
oratoryo,İtalyanca,0
tok,Turkce,1
piranha,İngilizce,0
çakırça,Turkce,1
doğankaykan,Turkce,1
tayüge,Turkce,1
realpolitik,Almanca,0
yaşın,Turkce,1
efervesan,Latince,0
salon,İtalyanca,0
ildike,Turkce,1
yıldır,Turkce,1
arslansungur,Turkce,1
kasırku,Turkce,1
çerez,Farsça,0
tan,Turkce,1
kiraz,Antik Yunanca,0
fonksiyon,Latince,0
entim,Latince,0
ıtak,Turkce,1
bozbörü,Turkce,1
gulgule,Arapça,0
çağlayan,Turkce,1
düşes,Latince,0
evlek,Antik Yunanca,0
öngü,Turkce,1
bad,Farsça,0
ebat,Arapça,0
kur,Turkce,1
arazi,Arapça,0
mancınık,Antik Yunanca,0
buhran,Arapça,0
tamantarkan,Turkce,1
kubaçakırca,Turkce,1
mader,Farsça,0
yoruk,Turkce,1
ama,Arapça,0
azban,Turkce,1
buğday,Turkce,1
keşmekeş,Farsça,0
start,İngilizce,0
nubuk,İngilizce,0
akait,Arapça,0
kabotaj,Latince,0
hümayun,Farsça,0
atgak,Turkce,1
madrabaz,Farsça,0
kösele,Farsça,0
asi,Arapça,0
dürmen,Turkce,1
gayet,Arapça,0
script,İngilizce,0
talancı,Turkce,1
aheste,Farsça,0
güderi,Antik Yunanca,0
künçtutuk,Turkce,1
küme,Antik Yunanca,0
defaat,Arapça,0
basanyalavaç,Turkce,1
kaymas,Turkce,1
çavaş,Turkce,1
retorik,Fransızca,0
sedye,İtalyanca,0
hipokaust,Almanca,0
artukaç,Turkce,1
toksuçiğil,Turkce,1
bükebuyraç,Turkce,1
korno,İtalyanca,0
monçuk,Turkce,1
demiryumruk,Turkce,1
urungukülük,Turkce,1
aydoğmuş,Turkce,1
kinsin,Turkce,1
çeşm,Farsça,0
acar,Arapça,0
toyun,Turkce,1
lonca,İtalyanca,0
yeşil,Turkce,1
yılbars,Turkce,1
bilardo,İtalyanca,0
kurna,Antik Yunanca,0
kaşkariko,İtalyanca,0
glüten,Latince,0
alçiçek,Turkce,1
berkyaruk,Turkce,1
çiçek,Turkce,1
dönek,Turkce,1
tolga,Turkce,1
paravan,İtalyanca,0
iltüzer,Turkce,1
ases,Arapça,0
sayramoq,Turkce,1
azade,Farsça,0
amfi,Antik Yunanca,0
içne,Turkce,1
ırmak,Turkce,1
gökbörü,Turkce,1
yabunsu,Turkce,1
pey,Farsça,0
elektro,İngilizce,0
müşkülpesent,Farsça,0
şablon,Almanca,0
silig,Turkce,1
zombi,İngilizce,0
dirgen,Antik Yunanca,0
arşun,Turkce,1
dike,Turkce,1
laf,Farsça,0
ebin,Turkce,1
yabgu,Turkce,1
ispanyolet,Latince,0
aziz,Arapça,0
cömert,Farsça,0
gadir,Arapça,0
entansif,Latince,0
namus,Antik Yunanca,0
preparat,Almanca,0
sağrak,Farsça,0
yalsaka,Turkce,1
bülbül,Arapça,0
yarık,Turkce,1
küllük,Turkce,1
pıhtı,Farsça,0
volta,İtalyanca,0
borazan,Farsça,0
kıyangüçü,Turkce,1
asfalya,Antik Yunanca,0
diyanet,Arapça,0
bilgeçikşin,Turkce,1
replika,İtalyanca,0
tamgalı,Turkce,1
konurkoca,Turkce,1
germinasyon,İngilizce,0
akbudak,Turkce,1
polka,Fransızca,0
misojin,Fransızca,0
patent,İtalyanca,0
sone,Fransızca,0
fistül,Latince,0
ağaça,Turkce,1
begil,Turkce,1
denden,Farsça,0
menhir,Fransızca,0
emaye,Fransızca,0
borani,Farsça,0
fars,Latince,0
meltem,İtalyanca,0
transandant,İngilizce,0
dabbe,Arapça,0
fevt,Arapça,0
körük,Turkce,1
ilmek,Turkce,1
kaynak,Turkce,1
alptuğrul,Turkce,1
empermeabl,Latince,0
barça,Turkce,1
yeşim,Farsça,0
akit,Arapça,0
künde,Farsça,0
mol,İngilizce,0
kadük,Latince,0
şelf,İngilizce,0
tengelgün,Turkce,1
fast-food,İngilizce,0
tükrünç,Turkce,1
pedofil,İngilizce,0
yağmâ,Turkce,1
kulampara,Farsça,0
koza,Farsça,0
plutokrasi,Fransızca,0
kokart,Fransızca,0
devlet,Arapça,0
alez,Latince,0
yarkan,Turkce,1
tripod,İngilizce,0
külünk,Farsça,0
aşağı,Turkce,1
badur,Turkce,1
köp,Turkce,1
meze,Farsça,0
friksiyon,Latince,0
destur,Farsça,0
şu,Turkce,1
roof,İngilizce,0
ımga,Turkce,1
lobya,Farsça,0
övünç,Turkce,1
termin,Almanca,0
erkete,Antik Yunanca,0
tike,Turkce,1
alevi,Arapça,0
duru,Turkce,1
hip-hop,İngilizce,0
soysal,Turkce,1
tadar,Turkce,1
engsekoca,Turkce,1
cirit,Arapça,0
gaffar,Arapça,0
feza,Arapça,0
battal,Arapça,0
aytak,Turkce,1
mamatçın,Turkce,1
kayış,Turkce,1
enfes,Arapça,0
posta,İtalyanca,0
nev,Farsça,0
kayınço,Turkce,1
beytülmal,Arapça,0
aspirin,Almanca,0
sengeç,Turkce,1
fetha,Arapça,0
deli,Turkce,1
trubadur,Latince,0
alaban,Turkce,1
yolak,Turkce,1
yarkın,Turkce,1
bayrı,Turkce,1
almıla,Turkce,1
ararot,İngilizce,0
termik,Almanca,0
ikti,Turkce,1
kutbulan,Turkce,1
flu,Latince,0
ham,Farsça,0
kakım,Farsça,0
baypüre,Turkce,1
tera,İngilizce,0
karibu,İngilizce,0
azat,Farsça,0
kindoğmuş,Turkce,1
adap,Arapça,0
dağar,Turkce,1
çubu,Turkce,1
konser,İtalyanca,0
taş,Turkce,1
ediz,Turkce,1
fiks,Latince,0
eyvallah,Arapça,0
tabın,Turkce,1
santi,İngilizce,0
kalınkaraaçkı,Turkce,1
pas,İngilizce,0
oftalmoloji,Fransızca,0
derviş,Farsça,0
araka,Antik Yunanca,0
sabutu,Turkce,1
seküler,İngilizce,0
pika,İngilizce,0
turna,Turkce,1
konkordato,İtalyanca,0
karık,Turkce,1
deccal,Arapça,0
baraka,İtalyanca,0
küçkara,Turkce,1
aşiret,Arapça,0
lös,Almanca,0
siya,İtalyanca,0
çağla,Turkce,1
beyrem,Turkce,1
vaşak,Turkce,1
baysungur,Turkce,1
aruk,Turkce,1
künç,Turkce,1
uz,Turkce,1
deste,Farsça,0
toğma,Turkce,1
küçdemir,Turkce,1
balkan,Turkce,1
bolsun,Turkce,1
balans,Latince,0
ınal,Turkce,1
manyeto,İngilizce,0
çınrak,Turkce,1
logos,Antik Yunanca,0
ecinni,Arapça,0
pirinç,Farsça,0
yelpaze,Turkce,1
yıl,Turkce,1
esef,Arapça,0
külüktutuk,Turkce,1
yağlakarata,Turkce,1
ısığ,Turkce,1
pigment,İngilizce,0
jön,Latince,0
sarıkulmas,Turkce,1
bangu,Turkce,1
zincifre,Farsça,0
yolakbarçın,Turkce,1
kurçdemir,Turkce,1
udar,Turkce,1
elviye,Arapça,0
çonay,Turkce,1
fortçuluk,Latince,0
konçertant,İtalyanca,0
beğkulu,Turkce,1
özüdoğru,Turkce,1
narkoz,Fransızca,0
buyraç,Turkce,1
elzem,Arapça,0
revir,Almanca,0
çeykün,Turkce,1
tapa,İtalyanca,0
arpat,Turkce,1
şahmaran,Farsça,0
börü,Turkce,1
viski,İngilizce,0
pantufla,İtalyanca,0
somaçı,Turkce,1
hafız,Arapça,0
kozalak,Farsça,0
mitoloji,Fransızca,0
başbuğ,Turkce,1
minkara,Turkce,1
ekspedisyon,Latince,0
feragat,Arapça,0
stopaj,İngilizce,0
otoban,Almanca,0
erankastöşek,Turkce,1
etil,Almanca,0
kereste,Farsça,0
erkin,Turkce,1
leb,Farsça,0
çeyrek,Farsça,0
çingene,Farsça,0
tiner,İngilizce,0
espas,Latince,0
temdilik,Turkce,1
kaldırım,Antik Yunanca,0
kamp,İtalyanca,0
kapgar,Turkce,1
kilise,Antik Yunanca,0
yağ,Turkce,1
çıban,Turkce,1
imrahor,Farsça,0
karaça,Turkce,1
enişte,Farsça,0
